Restaurant,Type,Yelp,Notes
Sarabeth's,Brunch,,
Chalk Point Kitchen,Brunch,,
Root & Bone,Brunch,,
Cafe Gitane,Brunch,,
Balaboosta,Brunch,,
Petit Abeille,Brunch,,
Clinton St. Baking Company,Brunch,,
Dimes ,Brunch,,
OatMeals,Brunch,,
Cookshop ,Brunch,,
Tartine,Brunch,,
Cafe Orlin,Brunch,,
Il Salumaio,Brunch,,
Elephant & Castle,Brunch,,
Prune ,Brunch,,
Loi Estiatorio,Brunch,,
Ringolevio (Brooklyn),Brunch,,
Egg Shop,Brunch,,
Bluestone Lane,Brunch,,
Jack’s Wife Freda,Brunch,,
Maharlika,Brunch,,
Motorino,Pizza,,
Rubirosa,Pizza,,
Joe’s,Pizza,,
Keste Pizza e Vino,Pizza,,
Emily,Pizza,,
Prince St. Pizza,Pizza,,
Spumoni Gardens,Pizza,,
Momofuku Milk Bar,Frozen Treats,,
Morgenstern’s Finest Ice Cream,Frozen Treats,,
Gotham West Market ,Frozen Treats,,
Dominique Ansel Kitchen,Frozen Treats,,
Melt Bakery,Frozen Treats,,
Chinatown Ice Cream Factory,Frozen Treats,,
Chloe’s Soft Serve,Frozen Treats,,
Ample Hills Creamery,Frozen Treats,,
Oddfellows Ice Cream,Frozen Treats,,
Sundaes & Cones,Frozen Treats,,
Snowdays Shavery,Frozen Treats,,
Dolce Gelateria,Frozen Treats,,
Milk & Cookies Bakery,Frozen Treats,,
L’Arte del Gelato,Frozen Treats,,
Grom,Frozen Treats,,
Gansevoort Market,Frozen Treats,,
popbar,Frozen Treats,,
Doughnut Plant,Donuts,,
Dough,Donuts,,
Dun Well Doughnuts,Donuts,,
Lady M Confections,Cakes ,,
Molly’s Cupcakes,Cakes ,,
Little Cupcake Bakeshop,Cakes ,,
Eileen’s Special Cheesecake,Cakes ,,
Two Little Red Hens,Cakes ,,
Four & Twenty Blackbirds,Cakes ,,
Petee’s Pie Co.,Cakes ,,
La Colombe Torrefaction,Coffee,,
Stumptown Coffee Roasters,Coffee,,
Chalait,Coffee,,
Bibble & Sip,Coffee,,
Coffee RX ,Coffee,,
Red Farm,Fusion,,
Mooncake Foods,Fusion,,
Mission Chinese (!!!!!),Fusion,,
Perilla,Fusion,,
Prosperity Dumpling,Dumplings,,
Tasty Dumpling,Dumplings,,
Jin Mei Dumplings,Dumplings,,
Fried Dumpling,Dumplings,,
Vanessa’s,Dumplings,,
Joe’s Shanghai (!!!!!!!),Dumplings,,
Shanghai Cafe Deluxe,Dumplings,,
The Handpulled Noodle,Noodles,,
Tasty Hand-Pulled Noodles,Noodles,,
Lam Zhou Handmade Noodle,Noodles,,
Big Wong (roast duck noodle soup),Noodles,,
Pho Grand,Noodles,,
Pho Bang,Noodles,,
New Bo Ky Restaurant,Noodles,,
Great N.Y. Noodletown,Noodles,,
Ippudo ,Noodles,,
Totto,Noodles,,
Mu Ramen,Noodles,,
Ivan Ramen,Noodles,,
Momofuku Noodle Bar,Noodles,,
Ramen Lab,Noodles,,
Noodle Village,Noodles,,
Spicy Village (da pan ji),Noodles,,
Zen 6,Noodles,,
Pepe Rosso To-Go,Pasta,,
Scarpetta (spaghetti),Pasta,,
Bar Pitti,Pasta,,
Osteria Morini,Pasta,,
Balthazar Bakery,Bread,,
Parisi Bakery,Bread,,
Cheeky Sandwiches,Sandwiches,,
Num Pang Sandwich Shop,Sandwiches,,
Xe May Sandwich Shop,Sandwiches,,
Banh Mi Saigon,Sandwiches,,
Saigon Vietnamese Sandwich Deli,Sandwiches,,
Patacon Pisao,Sandwiches,,
Parisi Bakery,Sandwiches,,
