,Restaurant,Type,Yelp,Notes
0,Sarabeth's,Brunch,https://www.yelp.com/biz/sarabeths-new-york-5?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
1,Chalk Point Kitchen,Brunch,https://www.yelp.com/biz/chalk-point-kitchen-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
2,Root & Bone,Brunch,https://www.yelp.com/biz/root-and-bone-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
3,Cafe Gitane,Brunch,https://www.yelp.com/biz/caf%C3%A9-gitane-new-york-3?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
4,Balaboosta,Brunch,https://www.yelp.com/biz/balaboosta-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
5,Petit Abeille,Brunch,https://www.yelp.com/biz/petite-abeille-new-york-3?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
6,Clinton St. Baking Company,Brunch,https://www.yelp.com/biz/clinton-street-baking-company-new-york-5?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
7,Dimes ,Brunch,https://www.yelp.com/biz/dimes-new-york-3?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
8,OatMeals,Brunch,https://www.yelp.com/biz/oatmeals-new-york-3?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
9,Cookshop ,Brunch,https://www.yelp.com/biz/cookshop-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
10,Tartine,Brunch,https://www.yelp.com/biz/tartine-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
